Epoch,Dropout 0.0,Dropout 0.25,Dropout 0.5,Dropout 0.75,Dropout 1.0
1,3.61579,3.682013,3.708453,3.749525,4.092469
2,3.205416,3.253431,3.305354,3.445978,4.018962
3,3.000774,3.074778,3.156839,3.334509,3.993583
4,2.871296,2.96022,3.058531,3.266471,3.981062
5,2.761511,2.866954,2.991109,3.213239,3.97385
6,2.662584,2.793787,2.931866,3.176736,3.969277
7,2.555768,2.719668,2.887079,3.165092,3.95767
8,2.451397,2.660551,2.848983,3.137203,3.957898
9,2.345906,2.599924,2.808534,3.108305,3.954205
10,2.24632,2.538044,2.775683,3.095795,3.954459
11,2.153292,2.490978,2.757085,3.081341,3.953342
12,2.066172,2.439988,2.731418,3.074406,3.953069
13,1.990672,2.390796,2.714261,3.058719,3.953
14,1.92568,2.351986,2.689412,3.049784,3.952983
15,1.875351,2.313987,2.671992,3.047795,3.952979
16,1.817638,2.274085,2.653248,3.03441,3.952978
17,1.773737,2.242254,2.63577,3.035896,3.952978
18,1.728954,2.213585,2.623382,3.021473,3.952978
19,1.699445,2.184908,2.605759,3.02653,3.952978
20,1.664951,2.16495,2.583014,3.011911,3.952978
21,1.637748,2.140508,2.568534,3.013921,3.952978
22,1.611865,2.119522,2.561351,2.945419,3.952978
23,1.596518,2.102809,2.548376,2.936404,3.952978
24,1.572142,2.089405,2.545426,2.932888,3.952978
25,1.556304,2.066679,2.524635,2.909918,3.952978
26,1.532653,2.058007,2.515609,2.921788,3.952978
27,1.524499,2.042009,2.5051,2.912468,3.952978
28,1.503382,2.029013,2.499066,2.901712,3.952978
29,1.491694,2.014215,2.489264,2.903561,3.952978
30,1.482183,2.006578,2.481402,2.890991,3.952978
31,1.467526,1.990927,2.479483,2.888808,3.952978
32,1.458128,1.99077,2.460375,2.894769,3.952978
33,1.451683,1.975064,2.45775,2.881486,3.952978
34,1.440281,1.96169,2.446673,2.88296,3.952978
35,1.428204,1.958671,2.4452,2.879777,3.952978
36,1.421252,1.950966,2.430638,2.880697,3.952978
37,1.417755,1.953563,2.430285,2.875105,3.952978
38,1.417964,1.942181,2.425363,2.871286,3.952978
39,1.41168,1.93968,2.420034,2.863688,3.952978
40,1.401686,1.934784,2.41171,2.854219,3.952978
